Function;Description
DATE function;'Returns the serial number of a particular date'
DATEDIF function;'Calculates the number of days, months, or years between two dates. This function is useful in formulas where you need to calculate an age.'
DATEVALUE function;'Converts a date in the form of text to a serial number'
DAY function;'Converts a serial number to a day of the month'
DAYS function;'Returns the number of days between two dates'
DAYS360 function;'Calculates the number of days between two dates based on a 360-day year'
EDATE function;'Returns the serial number of the date that is the indicated number of months before or after the start date'
EOMONTH function;'Returns the serial number of the last day of the month before or after a specified number of months'
HOUR function;'Converts a serial number to an hour'
ISOWEEKNUM function;'Returns the number of the ISO week number of the year for a given date'
MINUTE function;'Converts a serial number to a minute'
MONTH function;'Converts a serial number to a month'
NETWORKDAYS function;'Returns the number of whole workdays between two dates'
NETWORKDAYS.INTL function;'Returns the number of whole workdays between two dates using parameters to indicate which and how many days are weekend days'
NOW function;'Returns the serial number of the current date and time'
SECOND function;'Converts a serial number to a second'
TIME function;'Returns the serial number of a particular time'
TIMEVALUE function;'Converts a time in the form of text to a serial number'
TODAY function;'Returns the serial number of today's date'
WEEKDAY function;'Converts a serial number to a day of the week'
WEEKNUM function;'Converts a serial number to a number representing where the week falls numerically with a year'
WORKDAY function;'Returns the serial number of the date before or after a specified number of workdays'
WORKDAY.INTL function;'Returns the serial number of the date before or after a specified number of workdays using parameters to indicate which and how many days are weekend days'
YEAR function;'Converts a serial number to a year'
YEARFRAC function;'Returns the year fraction representing the number of whole days between start_date and end_date'
