Function;Description
BESSELI function;'Returns the modified Bessel function In(x)'
BESSELJ function;'Returns the Bessel function Jn(x)'
BESSELK function;'Returns the modified Bessel function Kn(x)'
BESSELY function;'Returns the Bessel function Yn(x)'
BIN2DEC function;'Converts a binary number to decimal'
BIN2HEX function;'Converts a binary number to hexadecimal'
BIN2OCT function;'Converts a binary number to octal'
BITAND function;'Returns a 'Bitwise And' of two numbers'
BITLSHIFT function;'Returns a value number shifted left by shift_amount bits'
BITOR function;'Returns a bitwise OR of 2 numbers'
BITRSHIFT function;'Returns a value number shifted right by shift_amount bits'
BITXOR function;'Returns a bitwise 'Exclusive Or' of two numbers'
COMPLEX function;'Converts real and imaginary coefficients into a complex number'
CONVERT function;'Converts a number from one measurement system to another'
DEC2BIN function;'Converts a decimal number to binary'
DEC2HEX function;'Converts a decimal number to hexadecimal'
DEC2OCT function;'Converts a decimal number to octal'
DELTA function;'Tests whether two values are equal'
ERF function;'Returns the error function'
ERF.PRECISE function;'Returns the error function'
ERFC function;'Returns the complementary error function'
ERFC.PRECISE function;'Returns the complementary ERF function integrated between x and infinity'
GESTEP function;'Tests whether a number is greater than a threshold value'
HEX2BIN function;'Converts a hexadecimal number to binary'
HEX2DEC function;'Converts a hexadecimal number to decimal'
HEX2OCT function;'Converts a hexadecimal number to octal'
IMABS function;'Returns the absolute value (modulus) of a complex number'
IMAGINARY function;'Returns the imaginary coefficient of a complex number'
IMARGUMENT function;'Returns the argument theta, an angle expressed in radians'
IMCONJUGATE function;'Returns the complex conjugate of a complex number'
IMCOS function;'Returns the cosine of a complex number'
IMCOSH function;'Returns the hyperbolic cosine of a complex number'
IMCOT function;'Returns the cotangent of a complex number'
IMCSC function;'Returns the cosecant of a complex number'
IMCSCH function;'Returns the hyperbolic cosecant of a complex number'
IMDIV function;'Returns the quotient of two complex numbers'
IMEXP function;'Returns the exponential of a complex number'
IMLN function;'Returns the natural logarithm of a complex number'
IMLOG10 function;'Returns the base-10 logarithm of a complex number'
IMLOG2 function;'Returns the base-2 logarithm of a complex number'
IMPOWER function;'Returns a complex number raised to an integer power'
IMPRODUCT function;'Returns the product of from 2 to 255 complex numbers'
IMREAL function;'Returns the real coefficient of a complex number'
IMSEC function;'Returns the secant of a complex number'
IMSECH function;'Returns the hyperbolic secant of a complex number'
IMSIN function;'Returns the sine of a complex number'
IMSINH function;'Returns the hyperbolic sine of a complex number'
IMSQRT function;'Returns the square root of a complex number'
IMSUB function;'Returns the difference between two complex numbers'
IMSUM function;'Returns the sum of complex numbers'
IMTAN function;'Returns the tangent of a complex number'
OCT2BIN function;'Converts an octal number to binary'
OCT2DEC function;'Converts an octal number to decimal'
OCT2HEX function;'Converts an octal number to hexadecimal'
