Function;Description
AND function;'Returns TRUE if all of its arguments are TRUE'
BYCOL function;'Applies a LAMBDA to each column and returns an array of the results'
BYROW function;'Applies a LAMBDA to each row and returns an array of the results'
FALSE function;'Returns the logical value FALSE'
IF function;'Specifies a logical test to perform'
IFERROR function;'Returns a value you specify if a formula evaluates to an error. Otherwise, returns the result of the formula'
IFNA function;'Returns the value you specify if the expression resolves to #N/A, otherwise returns the result of the expression'
IFS function;'Checks whether one or more conditions are met and returns a value that corresponds to the first TRUE condition'
LAMBDA function;'Create custom, reusable functions and call them by a friendly name'
LET function;'Assigns names to calculation results'
MAKEARRAY function;'Returns a calculated array of a specified row and column size, by applying a LAMBDA'
MAP function;'Returns an array formed by mapping each value in the array(s) to a new value by applying a LAMBDA to create a new value'
NOT function;'Reverses the logic of its argument'
OR function;'Returns TRUE if any argument is TRUE'
REDUCE function;'Reduces an array to an accumulated value by applying a LAMBDA to each value and returning the total value in the accumulator'
SCAN function;'Scans an array by applying a LAMBDA to each value and returns an array that has each intermediate value'
SWITCH function;'Evaluates an expression against a list of values and returns the result corresponding to the first matching value. If there is no match, an optional default value may be returned'
TRUE function;'Returns the logical value TRUE'
XOR function;'Returns a logical exclusive OR of all arguments'
