Function;Description
AVEDEV function;'Returns the average of the absolute deviations of data points from their mean'
AVERAGE function;'Returns the average of its arguments'
AVERAGEA function;'Returns the average of its arguments, including numbers, text, and logical values'
AVERAGEIF function;'Returns the average (arithmetic mean) of all the cells in a range that meet a given criteria'
AVERAGEIFS function;'Returns the average (arithmetic mean) of all cells that meet multiple criteria'
BETA.DIST function;'Returns the beta cumulative distribution function'
BETA.INV function;'Returns the inverse of the cumulative distribution function for a specified beta distribution'
BINOM.DIST function;'Returns the individual term binomial distribution probability'
BINOM.DIST.RANGE function;'Returns the probability of a trial result using a binomial distribution'
BINOM.INV function;'Returns the smallest value for which the cumulative binomial distribution is less than or equal to a criterion value'
CHISQ.DIST function;'Returns the cumulative beta probability density function'
CHISQ.DIST.RT function;'Returns the one-tailed probability of the chi-squared distribution'
CHISQ.INV function;'Returns the cumulative beta probability density function'
CHISQ.INV.RT function;'Returns the inverse of the one-tailed probability of the chi-squared distribution'
CHISQ.TEST function;'Returns the test for independence'
CONFIDENCE.NORM function;'Returns the confidence interval for a population mean'
CONFIDENCE.T function;'Returns the confidence interval for a population mean, using a Student's t distribution'
CORREL function;'Returns the correlation coefficient between two data sets'
COUNT function;'Counts how many numbers are in the list of arguments'
COUNTA function;'Counts how many values are in the list of arguments'
COUNTBLANK function;'Counts the number of blank cells within a range'
COUNTIF function;'Counts the number of cells within a range that meet the given criteria'
COUNTIFS function;'Counts the number of cells within a range that meet multiple criteria'
COVARIANCE.P function;'Returns covariance, the average of the products of paired deviations'
COVARIANCE.S function;'Returns the sample covariance, the average of the products deviations for each data point pair in two data sets'
DEVSQ function;'Returns the sum of squares of deviations'
EXPON.DIST function;'Returns the exponential distribution'
F.DIST function;'Returns the F probability distribution'
F.DIST.RT function;'Returns the F probability distribution'
F.INV function;'Returns the inverse of the F probability distribution'
F.INV.RT function;'Returns the inverse of the F probability distribution'
F.TEST function;'Returns the result of an F-test'
FISHER function;'Returns the Fisher transformation'
FISHERINV function;'Returns the inverse of the Fisher transformation'
FORECAST function;'Returns a value along a linear trend'
FORECAST.ETS function;'Returns a future value based on existing (historical) values by using the AAA version of the Exponential Smoothing (ETS) algorithm'
FORECAST.ETS.CONFINT function;'Returns a confidence interval for the forecast value at the specified target date'
FORECAST.ETS.SEASONALITY function;'Returns the length of the repetitive pattern Excel detects for the specified time series'
FORECAST.ETS.STAT function;'Returns a statistical value as a result of time series forecasting'
FORECAST.LINEAR function;'Returns a future value based on existing values'
FREQUENCY function;'Returns a frequency distribution as a vertical array'
GAMMA function;'Returns the Gamma function value'
GAMMA.DIST function;'Returns the gamma distribution'
GAMMA.INV function;'Returns the inverse of the gamma cumulative distribution'
GAMMALN function;'Returns the natural logarithm of the gamma function, Γ(x)'
GAMMALN.PRECISE function;'Returns the natural logarithm of the gamma function, Γ(x)'
GAUSS function;'Returns 0.5 less than the standard normal cumulative distribution'
GEOMEAN function;'Returns the geometric mean'
GROWTH function;'Returns values along an exponential trend'
HARMEAN function;'Returns the harmonic mean'
HYPGEOM.DIST function;'Returns the hypergeometric distribution'
INTERCEPT function;'Returns the intercept of the linear regression line'
KURT function;'Returns the kurtosis of a data set'
LARGE function;'Returns the k-th largest value in a data set'
LINEST function;'Returns the parameters of a linear trend'
LOGEST function;'Returns the parameters of an exponential trend'
LOGNORM.DIST function;'Returns the cumulative lognormal distribution'
LOGNORM.INV function;'Returns the inverse of the lognormal cumulative distribution'
MAX function;'Returns the maximum value in a list of arguments'
MAXA function;'Returns the maximum value in a list of arguments, including numbers, text, and logical values'
MAXIFS function;'Returns the maximum value among cells specified by a given set of conditions or criteria'
MEDIAN function;'Returns the median of the given numbers'
MIN function;'Returns the minimum value in a list of arguments'
MINA function;'Returns the smallest value in a list of arguments, including numbers, text, and logical values'
MINIFS function;'Returns the minimum value among cells specified by a given set of conditions or criteria.'
MODE.MULT function;'Returns a vertical array of the most frequently occurring, or repetitive values in an array or range of data'
MODE.SNGL function;'Returns the most common value in a data set'
NEGBINOM.DIST function;'Returns the negative binomial distribution'
NORM.DIST function;'Returns the normal cumulative distribution'
NORM.INV function;'Returns the inverse of the normal cumulative distribution'
NORM.S.DIST function;'Returns the standard normal cumulative distribution'
NORM.S.INV function;'Returns the inverse of the standard normal cumulative distribution'
PEARSON function;'Returns the Pearson product moment correlation coefficient'
PERCENTILE.EXC function;'Returns the k-th percentile of values in a range, where k is in the range 0..1, exclusive'
PERCENTILE.INC function;'Returns the k-th percentile of values in a range'
PERCENTRANK.EXC function;'Returns the rank of a value in a data set as a percentage (0..1, exclusive) of the data set'
PERCENTRANK.INC function;'Returns the percentage rank of a value in a data set'
PERMUT function;'Returns the number of permutations for a given number of objects'
PERMUTATIONA function;'Returns the number of permutations for a given number of objects (with repetitions) that can be selected from the total objects'
PHI function;'Returns the value of the density function for a standard normal distribution'
POISSON.DIST function;'Returns the Poisson distribution'
PROB function;'Returns the probability that values in a range are between two limits'
QUARTILE.EXC function;'Returns the quartile of the data set, based on percentile values from 0..1, exclusive'
QUARTILE.INC function;'Returns the quartile of a data set'
RANK.AVG function;'Returns the rank of a number in a list of numbers'
RANK.EQ function;'Returns the rank of a number in a list of numbers'
RSQ function;'Returns the square of the Pearson product moment correlation coefficient'
SKEW function;'Returns the skewness of a distribution'
SKEW.P function;'Returns the skewness of a distribution based on a population: a characterization of the degree of asymmetry of a distribution around its mean'
SLOPE function;'Returns the slope of the linear regression line'
SMALL function;'Returns the k-th smallest value in a data set'
STANDARDIZE function;'Returns a normalized value'
STDEV.P function;'Calculates standard deviation based on the entire population'
STDEV.S function;'Estimates standard deviation based on a sample'
STDEVA function;'Estimates standard deviation based on a sample, including numbers, text, and logical values'
STDEVPA function;'Calculates standard deviation based on the entire population, including numbers, text, and logical values'
STEYX function;'Returns the standard error of the predicted y-value for each x in the regression'
T.DIST function;'Returns the Percentage Points (probability) for the Student t-distribution'
T.DIST.2T function;'Returns the Percentage Points (probability) for the Student t-distribution'
T.DIST.RT function;'Returns the Student's t-distribution'
T.INV function;'Returns the t-value of the Student's t-distribution as a function of the probability and the degrees of freedom'
T.INV.2T function;'Returns the inverse of the Student's t-distribution'
T.TEST function;'Returns the probability associated with a Student's t-test'
TREND function;'Returns values along a linear trend'
TRIMMEAN function;'Returns the mean of the interior of a data set'
VAR.P function;'Calculates variance based on the entire population'
VAR.S function;'Estimates variance based on a sample'
VARA function;'Estimates variance based on a sample, including numbers, text, and logical values'
VARPA function;'Calculates variance based on the entire population, including numbers, text, and logical values'
WEIBULL.DIST function;'Returns the Weibull distribution'
Z.TEST function;'Returns the one-tailed probability-value of a z-test'
