Function;Description
CELL function;'Returns information about the formatting, location, or contents of a cell'
ERROR.TYPE function;'Returns a number corresponding to an error type'
INFO function;'Returns information about the current operating environment'
ISBLANK function;'Returns TRUE if the value is blank'
ISERR function;'Returns TRUE if the value is any error value except #N/A'
ISERROR function;'Returns TRUE if the value is any error value'
ISEVEN function;'Returns TRUE if the number is even'
ISFORMULA function;'Returns TRUE if there is a reference to a cell that contains a formula'
ISLOGICAL function;'Returns TRUE if the value is a logical value'
ISNA function;'Returns TRUE if the value is the #N/A error value'
ISNONTEXT function;'Returns TRUE if the value is not text'
ISNUMBER function;'Returns TRUE if the value is a number'
ISODD function;'Returns TRUE if the number is odd'
ISOMITTED function;'Checks whether the value in a LAMBDA is missing and returns TRUE or FALSE'
ISREF function;'Returns TRUE if the value is a reference'
ISTEXT function;'Returns TRUE if the value is text'
N function;'Returns a value converted to a number'
NA function;'Returns the error value #N/A'
SHEET function;'Returns the sheet number of the referenced sheet'
SHEETS function;'Returns the number of sheets in a reference'
TYPE function;'Returns a number indicating the data type of a value'
