Function;Description
AND;"Returns TRUE if all of its arguments are TRUE"
BYCOL;"Applies a LAMBDA to each column and returns an array of the results"
BYROW;"Applies a LAMBDA to each row and returns an array of the results"
FALSE;"Returns the logical value FALSE"
IF;"Specifies a logical test to perform"
IFERROR;"Returns a value you specify if a formula evaluates to an error; otherwise, returns the result of the formula"
IFNA;"Returns the value you specify if the expression resolves to #N/A, otherwise returns the result of the expression"
IFS;"Checks whether one or more conditions are met and returns a value that corresponds to the first TRUE condition"
LAMBDA;"Create custom, reusable functions and call them by a friendly name"
LET;"Assigns names to calculation results"
MAKEARRAY;"Returns a calculated array of a specified row and column size, by applying a LAMBDA"
MAP;"Returns an array formed by mapping each value in the array(s) to a new value by applying a LAMBDA to create a new value"
NOT;"Reverses the logic of its argument"
OR;"Returns TRUE if any argument is TRUE"
REDUCE;"Reduces an array to an accumulated value by applying a LAMBDA to each value and returning the total value in the accumulator"
SCAN;"Scans an array by applying a LAMBDA to each value and returns an array that has each intermediate value"
SWITCH;"Evaluates an expression against a list of values and returns the result corresponding to the first matching value. If there is no match, an optional default value may be returned"
TRUE;"Returns the logical value TRUE"
XOR;"Returns a logical exclusive OR of all arguments"
