Function;Description
ASC function;'Changes full-width (double-byte) English letters or katakana within a character string to half-width (single-byte) characters'
ARRAYTOTEXT function;'Returns an array of text values from any specified range'
BAHTTEXT function;'Converts a number to text, using the ß (baht) currency format'
CHAR function;'Returns the character specified by the code number'
CLEAN function;'Removes all nonprintable characters from text'
CODE function;'Returns a numeric code for the first character in a text string'
CONCAT function;'Combines the text from multiple ranges and/or strings, but it doesn't provide the delimiter or IgnoreEmpty arguments.'
CONCATENATE function;'Joins several text items into one text item'
DBCS function;'Changes half-width (single-byte) English letters or katakana within a character string to full-width (double-byte) characters'
DOLLAR function;'Converts a number to text, using the $ (dollar) currency format'
EXACT function;'Checks to see if two text values are identical'
FIND, FINDB functions;'Finds one text value within another (case-sensitive)'
FIXED function;'Formats a number as text with a fixed number of decimals'
LEFT, LEFTB functions;'Returns the leftmost characters from a text value'
LEN, LENB functions;'Returns the number of characters in a text string'
LOWER function;'Converts text to lowercase'
MID, MIDB functions;'Returns a specific number of characters from a text string starting at the position you specify'
NUMBERVALUE function;'Converts text to number in a locale-independent manner'
PHONETIC function;'Extracts the phonetic (furigana) characters from a text string'
PROPER function;'Capitalizes the first letter in each word of a text value'
REPLACE, REPLACEB functions;'Replaces characters within text'
REPT function;'Repeats text a given number of times'
RIGHT, RIGHTB functions;'Returns the rightmost characters from a text value'
SEARCH, SEARCHB functions;'Finds one text value within another (not case-sensitive)'
SUBSTITUTE function;'Substitutes new text for old text in a text string'
T function;'Converts its arguments to text'
TEXT function;'Formats a number and converts it to text'
TEXTAFTER function;'Returns text that occurs after given character or string'
TEXTBEFORE function;'Returns text that occurs before a given character or string'
TEXTJOIN function;'Text:    Combines the text from multiple ranges and/or strings'
TEXTSPLIT function;'Splits text strings by using column and row delimiters'
TRIM function;'Removes spaces from text'
UNICHAR function;'Returns the Unicode character that is references by the given numeric value'
UNICODE function;'Returns the number (code point) that corresponds to the first character of the text'
UPPER function;'Converts text to uppercase'
VALUE function;'Converts a text argument to a number'
VALUETOTEXT function;'Returns text from any specified value'
